GISJOIN,STATEA,COUNTYA,TRACTA,Total,White,Black,Native,Asian,Hawaiian,Other,Two,WPct,BPct,NPct
G32000109501001,32,1,950100,1027,892,30,37,10,2,28,28,0.87,0.03,0.04
G32000109501002,32,1,950100,1536,1323,33,20,30,3,86,41,0.86,0.02,0.01
G32000109503011,32,1,950301,815,648,12,28,21,0,56,50,0.80,0.01,0.03
G32000109503012,32,1,950301,1380,967,26,149,69,1,49,119,0.70,0.02,0.11
G32000109503013,32,1,950301,1689,1327,50,42,47,4,134,85,0.79,0.03,0.02
G32000109503021,32,1,950302,1576,1288,31,43,90,9,44,71,0.82,0.02,0.03
G32000109503022,32,1,950302,758,575,26,23,27,1,44,62,0.76,0.03,0.03
G32000109503023,32,1,950302,1476,1177,45,25,90,1,52,86,0.80,0.03,0.02
G32000109503024,32,1,950302,661,476,5,29,17,0,104,30,0.72,0.01,0.04
G32000109503025,32,1,950302,797,639,18,41,30,1,39,29,0.80,0.02,0.05
G32000109504001,32,1,950400,711,488,56,6,69,3,12,77,0.69,0.08,0.01
G32000109505001,32,1,950500,761,244,2,453,4,0,7,51,0.32,0.00,0.60
G32000109505002,32,1,950500,630,568,1,9,5,1,37,9,0.90,0.00,0.01
G32000109506001,32,1,950600,1926,1733,10,38,23,4,65,53,0.90,0.01,0.02
G32000109506002,32,1,950600,1865,1558,5,38,35,1,188,40,0.84,0.00,0.02
G32000109506003,32,1,950600,1568,1409,9,33,32,2,41,42,0.90,0.01,0.02
G32000109507001,32,1,950700,1534,1364,14,32,11,4,64,45,0.89,0.01,0.02
G32000109507002,32,1,950700,1592,1398,13,28,31,9,52,61,0.88,0.01,0.02
G32000109507003,32,1,950700,869,779,2,26,9,4,17,32,0.90,0.00,0.03
G32000109507004,32,1,950700,1706,1554,7,29,15,1,64,36,0.91,0.00,0.02
G32000300001011,32,3,101,1171,583,150,13,27,4,344,50,0.50,0.13,0.01
G32000300001012,32,3,101,1887,1040,105,11,106,19,519,87,0.55,0.06,0.01
G32000300001013,32,3,101,698,424,63,0,27,12,131,41,0.61,0.09,0.00
G32000300001014,32,3,101,2112,761,151,7,53,3,1049,88,0.36,0.07,0.00
G32000300001015,32,3,101,983,260,253,4,17,0,397,52,0.26,0.26,0.00
G32000300001031,32,3,103,1017,597,57,8,36,4,257,58,0.59,0.06,0.01
G32000300001032,32,3,103,1307,764,51,12,35,3,336,106,0.58,0.04,0.01
G32000300001033,32,3,103,2182,1160,229,9,66,18,571,129,0.53,0.10,0.00
G32000300001034,32,3,103,1139,660,33,12,56,18,262,98,0.58,0.03,0.01
G32000300001051,32,3,105,945,651,45,9,43,10,154,33,0.69,0.05,0.01
G32000300001052,32,3,105,1951,1137,75,29,69,2,544,95,0.58,0.04,0.01
G32000300001053,32,3,105,1102,605,50,18,81,3,279,66,0.55,0.05,0.02
G32000300001061,32,3,106,1066,790,137,6,52,4,61,16,0.74,0.13,0.01
G32000300001062,32,3,106,2209,1345,123,31,60,9,478,163,0.61,0.06,0.01
G32000300001063,32,3,106,988,478,163,11,69,13,182,72,0.48,0.16,0.01
G32000300001071,32,3,107,1456,920,54,21,37,9,371,44,0.63,0.04,0.01
G32000300001072,32,3,107,2400,1277,253,14,228,27,481,120,0.53,0.11,0.01
G32000300001081,32,3,108,1473,685,36,12,19,7,621,93,0.47,0.02,0.01
G32000300001082,32,3,108,2208,1270,92,29,44,2,690,81,0.58,0.04,0.01
G32000300001091,32,3,109,1172,724,103,6,36,20,235,48,0.62,0.09,0.01
G32000300001092,32,3,109,855,494,54,9,22,3,234,39,0.58,0.06,0.01
G32000300001093,32,3,109,1540,825,167,13,88,0,371,76,0.54,0.11,0.01
G32000300002011,32,3,201,2344,663,830,16,183,11,550,91,0.28,0.35,0.01
G32000300002012,32,3,201,1079,416,243,1,20,0,354,45,0.39,0.23,0.00
G32000300002013,32,3,201,1110,319,432,4,12,24,274,45,0.29,0.39,0.00
G32000300002031,32,3,203,1242,625,222,7,66,15,236,71,0.50,0.18,0.01
G32000300002032,32,3,203,769,436,75,2,80,13,134,29,0.57,0.10,0.00
G32000300002033,32,3,203,886,413,232,4,75,2,125,35,0.47,0.26,0.00
G32000300002034,32,3,203,685,273,199,1,58,13,88,53,0.40,0.29,0.00
G32000300002041,32,3,204,577,441,69,1,44,0,17,5,0.76,0.12,0.00
G32000300002042,32,3,204,580,422,19,13,43,1,62,20,0.73,0.03,0.02
G32000300003011,32,3,301,1687,214,1076,7,34,4,312,40,0.13,0.64,0.00
G32000300003012,32,3,301,552,326,161,7,12,2,34,10,0.59,0.29,0.01
G32000300003013,32,3,301,864,136,350,2,12,1,328,35,0.16,0.41,0.00
G32000300003021,32,3,302,939,242,249,2,96,3,325,22,0.26,0.27,0.00
G32000300003022,32,3,302,1388,138,1045,1,5,8,89,102,0.10,0.75,0.00
G32000300003023,32,3,302,559,41,444,1,2,1,60,10,0.07,0.79,0.00
G32000300003024,32,3,302,885,47,735,1,6,3,65,28,0.05,0.83,0.00
G32000300003025,32,3,302,902,128,614,4,3,2,122,29,0.14,0.68,0.00
G32000300004011,32,3,401,710,433,30,16,34,0,153,44,0.61,0.04,0.02
G32000300004012,32,3,401,2155,1167,651,77,56,27,78,99,0.54,0.30,0.04
G32000300004021,32,3,402,1571,618,327,27,39,8,480,72,0.39,0.21,0.02
G32000300004022,32,3,402,655,257,58,17,38,9,245,31,0.39,0.09,0.03
G32000300004023,32,3,402,1265,559,223,33,56,12,339,43,0.44,0.18,0.03
G32000300004031,32,3,403,821,441,203,8,57,2,92,18,0.54,0.25,0.01
G32000300004032,32,3,403,1017,345,84,10,38,9,458,73,0.34,0.08,0.01
G32000300004033,32,3,403,915,447,69,10,45,5,291,48,0.49,0.08,0.01
G32000300005101,32,3,510,1009,458,47,2,14,0,455,33,0.45,0.05,0.00
G32000300005102,32,3,510,1836,642,157,15,23,4,902,93,0.35,0.09,0.01
G32000300005103,32,3,510,1441,606,77,14,62,0,665,17,0.42,0.05,0.01
G32000300005104,32,3,510,1217,524,34,16,8,1,547,87,0.43,0.03,0.01
G32000300005131,32,3,513,2148,933,169,28,33,16,901,68,0.43,0.08,0.01
G32000300005132,32,3,513,940,603,76,4,17,3,207,30,0.64,0.08,0.00
G32000300005133,32,3,513,786,403,31,2,14,0,292,44,0.51,0.04,0.00
G32000300005141,32,3,514,1041,364,108,8,11,9,502,39,0.35,0.10,0.01
G32000300005142,32,3,514,1266,674,51,6,62,9,421,43,0.53,0.04,0.00
G32000300005143,32,3,514,1744,786,225,3,67,10,576,77,0.45,0.13,0.00
G32000300005144,32,3,514,975,487,161,4,30,7,252,34,0.50,0.17,0.00
G32000300005145,32,3,514,1209,635,155,4,40,0,306,69,0.53,0.13,0.00
G32000300005151,32,3,515,1592,768,86,30,98,0,543,67,0.48,0.05,0.02
G32000300005152,32,3,515,1272,467,114,17,50,30,533,61,0.37,0.09,0.01
G32000300005153,32,3,515,1060,519,76,8,96,8,293,60,0.49,0.07,0.01
G32000300005154,32,3,515,1180,613,73,2,74,2,365,51,0.52,0.06,0.00
G32000300005161,32,3,516,1041,566,55,13,32,0,321,54,0.54,0.05,0.01
G32000300005162,32,3,516,1205,423,263,4,94,0,338,83,0.35,0.22,0.00
G32000300005163,32,3,516,1007,542,54,15,26,13,311,46,0.54,0.05,0.01
G32000300005164,32,3,516,2073,1089,405,51,41,19,372,96,0.53,0.20,0.02
G32000300005171,32,3,517,1261,604,82,10,73,4,422,66,0.48,0.07,0.01
G32000300005172,32,3,517,1669,707,215,16,87,4,568,72,0.42,0.13,0.01
G32000300005173,32,3,517,1307,660,83,5,38,0,464,57,0.50,0.06,0.00
G32000300005174,32,3,517,866,475,77,12,29,1,245,27,0.55,0.09,0.01
G32000300005181,32,3,518,672,231,114,7,38,0,244,38,0.34,0.17,0.01
G32000300005182,32,3,518,799,360,133,4,29,4,223,46,0.45,0.17,0.01
G32000300005183,32,3,518,1625,874,95,17,68,0,489,82,0.54,0.06,0.01
G32000300005184,32,3,518,1750,843,98,15,43,1,641,109,0.48,0.06,0.01
G32000300005185,32,3,518,451,194,42,0,6,0,198,11,0.43,0.09,0.00
G32000300005191,32,3,519,861,417,30,3,35,1,343,32,0.48,0.03,0.00
G32000300005192,32,3,519,821,387,27,5,43,1,325,33,0.47,0.03,0.01
G32000300005193,32,3,519,1612,727,68,5,86,1,656,69,0.45,0.04,0.00
G32000300005194,32,3,519,1355,535,184,18,25,6,481,106,0.39,0.14,0.01
G32000300005201,32,3,520,1072,521,25,5,48,3,439,31,0.49,0.02,0.00
G32000300005202,32,3,520,923,357,22,9,37,3,477,18,0.39,0.02,0.01
G32000300005211,32,3,521,771,439,190,7,37,1,78,19,0.57,0.25,0.01
G32000300005212,32,3,521,1276,584,82,16,41,6,478,69,0.46,0.06,0.01
G32000300005213,32,3,521,961,403,92,13,26,6,380,41,0.42,0.10,0.01
G32000300005214,32,3,521,1119,471,41,10,41,0,506,50,0.42,0.04,0.01
G32000300005221,32,3,522,866,396,80,9,16,5,325,35,0.46,0.09,0.01
G32000300005222,32,3,522,1316,350,183,14,8,5,711,45,0.27,0.14,0.01
G32000300005223,32,3,522,1256,391,51,14,10,0,718,72,0.31,0.04,0.01
G32000300005231,32,3,523,1453,579,339,9,25,5,437,59,0.40,0.23,0.01
G32000300005232,32,3,523,741,271,21,8,1,6,406,28,0.37,0.03,0.01
G32000300005241,32,3,524,663,288,30,4,5,3,324,9,0.43,0.05,0.01
G32000300005242,32,3,524,375,150,26,6,6,0,168,19,0.40,0.07,0.02
G32000300005243,32,3,524,1250,473,52,9,14,5,647,50,0.38,0.04,0.01
G32000300005251,32,3,525,1162,419,249,2,6,2,417,67,0.36,0.21,0.00
G32000300005252,32,3,525,686,387,20,5,8,0,237,29,0.56,0.03,0.01
G32000300005253,32,3,525,910,331,52,6,7,16,453,45,0.36,0.06,0.01
G32000300005261,32,3,526,1260,778,57,4,12,2,364,43,0.62,0.05,0.00
G32000300005262,32,3,526,1435,622,39,8,34,7,663,62,0.43,0.03,0.01
G32000300005271,32,3,527,1262,447,110,0,44,0,596,65,0.35,0.09,0.00
G32000300005272,32,3,527,1451,651,100,4,44,8,579,65,0.45,0.07,0.00
G32000300005273,32,3,527,1075,499,47,3,21,0,464,41,0.46,0.04,0.00
G32000300005281,32,3,528,572,292,22,4,7,0,234,13,0.51,0.04,0.01
G32000300005282,32,3,528,1102,359,180,7,29,0,489,38,0.33,0.16,0.01
G32000300005283,32,3,528,1581,643,232,6,56,6,534,104,0.41,0.15,0.00
G32000300006001,32,3,600,1551,918,280,27,65,3,196,62,0.59,0.18,0.02
G32000300006002,32,3,600,1273,778,136,17,63,15,217,47,0.61,0.11,0.01
G32000300007001,32,3,700,3577,1580,1230,51,86,22,448,160,0.44,0.34,0.01
G32000300007002,32,3,700,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
G32000300007003,32,3,700,381,241,78,24,11,2,13,12,0.63,0.20,0.06
G32000300007004,32,3,700,1228,813,235,8,91,15,37,29,0.66,0.19,0.01
G32000300008001,32,3,800,1609,928,290,10,178,13,131,59,0.58,0.18,0.01
G32000300008002,32,3,800,624,252,90,4,146,5,84,43,0.40,0.14,0.01
G32000300009001,32,3,900,942,606,179,9,71,2,34,41,0.64,0.19,0.01
G32000300010031,32,3,1003,1072,752,89,10,116,4,64,37,0.70,0.08,0.01
G32000300010032,32,3,1003,1761,1024,97,20,81,10,426,103,0.58,0.06,0.01
G32000300010033,32,3,1003,1192,659,154,11,126,11,156,75,0.55,0.13,0.01
G32000300010041,32,3,1004,1140,654,191,8,74,11,153,49,0.57,0.17,0.01
G32000300010042,32,3,1004,1087,802,131,8,69,2,27,48,0.74,0.12,0.01
G32000300010043,32,3,1004,670,492,29,1,36,4,83,25,0.73,0.04,0.00
G32000300010044,32,3,1004,1579,760,139,2,169,5,408,96,0.48,0.09,0.00
G32000300010045,32,3,1004,1181,637,27,8,107,0,336,66,0.54,0.02,0.01
G32000300010046,32,3,1004,711,313,29,13,47,0,262,47,0.44,0.04,0.02
G32000300010051,32,3,1005,954,744,48,3,71,2,48,38,0.78,0.05,0.00
G32000300010052,32,3,1005,600,490,23,3,55,4,10,15,0.82,0.04,0.01
G32000300010061,32,3,1006,760,677,17,3,24,0,13,26,0.89,0.02,0.00
G32000300010062,32,3,1006,1419,915,105,8,65,14,247,65,0.64,0.07,0.01
G32000300010063,32,3,1006,1993,1305,112,9,166,14,292,95,0.65,0.06,0.00
G32000300011001,32,3,1100,414,273,55,1,15,1,53,16,0.66,0.13,0.00
G32000300011002,32,3,1100,955,289,91,8,222,10,275,60,0.30,0.10,0.01
G32000300011003,32,3,1100,1242,593,241,11,137,8,188,64,0.48,0.19,0.01
G32000300012001,32,3,1200,798,535,21,7,52,3,146,34,0.67,0.03,0.01
G32000300012002,32,3,1200,1448,816,102,12,158,5,257,98,0.56,0.07,0.01
G32000300012003,32,3,1200,1900,1036,148,18,145,25,455,73,0.55,0.08,0.01
G32000300013001,32,3,1300,697,460,4,6,53,1,141,32,0.66,0.01,0.01
G32000300013002,32,3,1300,1004,673,42,23,82,5,157,22,0.67,0.04,0.02
G32000300013003,32,3,1300,1216,768,60,21,45,7,269,46,0.63,0.05,0.02
G32000300013004,32,3,1300,938,535,40,28,61,0,216,58,0.57,0.04,0.03
G32000300013005,32,3,1300,839,527,33,5,36,7,213,18,0.63,0.04,0.01
G32000300014011,32,3,1401,1547,696,103,24,96,1,574,53,0.45,0.07,0.02
G32000300014012,32,3,1401,1634,1018,83,5,87,15,365,61,0.62,0.05,0.00
G32000300014021,32,3,1402,1093,475,26,7,90,0,446,49,0.43,0.02,0.01
G32000300014022,32,3,1402,1079,544,50,5,79,0,364,37,0.50,0.05,0.00
G32000300014023,32,3,1402,1014,436,60,12,48,3,416,39,0.43,0.06,0.01
G32000300014024,32,3,1402,976,477,19,7,36,6,369,62,0.49,0.02,0.01
G32000300015011,32,3,1501,1032,473,199,4,32,0,273,51,0.46,0.19,0.00
G32000300015012,32,3,1501,646,416,60,6,30,4,97,33,0.64,0.09,0.01
G32000300015013,32,3,1501,1199,675,160,18,72,6,183,85,0.56,0.13,0.02
G32000300015021,32,3,1502,1398,1215,39,11,40,8,48,37,0.87,0.03,0.01
G32000300015022,32,3,1502,1129,600,36,17,32,0,395,49,0.53,0.03,0.02
G32000300015023,32,3,1502,928,804,29,10,23,5,27,30,0.87,0.03,0.01
G32000300015024,32,3,1502,397,194,51,1,12,0,131,8,0.49,0.13,0.00
G32000300016071,32,3,1607,1008,632,186,18,30,23,61,58,0.63,0.18,0.02
G32000300016072,32,3,1607,1091,854,77,9,27,0,73,51,0.78,0.07,0.01
G32000300016073,32,3,1607,874,605,40,0,27,0,173,29,0.69,0.05,0.00
G32000300016074,32,3,1607,2539,1586,285,42,76,6,411,133,0.62,0.11,0.02
G32000300016081,32,3,1608,890,461,33,10,45,5,313,23,0.52,0.04,0.01
G32000300016082,32,3,1608,971,746,79,3,24,8,80,31,0.77,0.08,0.00
G32000300016091,32,3,1609,882,484,45,10,41,16,244,42,0.55,0.05,0.01
G32000300016092,32,3,1609,1072,555,98,5,61,9,287,57,0.52,0.09,0.00
G32000300016093,32,3,1609,1256,666,91,14,104,2,330,49,0.53,0.07,0.01
G32000300016094,32,3,1609,1029,348,91,8,285,6,233,58,0.34,0.09,0.01
G32000300016101,32,3,1610,1423,734,62,14,71,4,439,99,0.52,0.04,0.01
G32000300016102,32,3,1610,1471,912,83,8,73,2,347,46,0.62,0.06,0.01
G32000300016111,32,3,1611,2106,1158,187,4,87,36,537,97,0.55,0.09,0.00
G32000300016112,32,3,1611,1727,987,110,17,94,8,447,64,0.57,0.06,0.01
G32000300016113,32,3,1611,936,482,66,9,16,14,322,27,0.51,0.07,0.01
G32000300016121,32,3,1612,1616,822,273,2,63,12,383,61,0.51,0.17,0.00
G32000300016122,32,3,1612,1985,650,380,19,78,22,738,98,0.33,0.19,0.01
G32000300016123,32,3,1612,1444,709,245,6,53,17,342,72,0.49,0.17,0.00
G32000300016124,32,3,1612,582,404,29,5,13,2,109,20,0.69,0.05,0.01
G32000300016125,32,3,1612,1709,697,449,11,47,15,406,84,0.41,0.26,0.01
G32000300016131,32,3,1613,1194,565,72,8,50,13,452,34,0.47,0.06,0.01
G32000300016132,32,3,1613,1900,919,340,27,71,5,409,129,0.48,0.18,0.01
G32000300016133,32,3,1613,905,427,82,3,35,0,318,40,0.47,0.09,0.00
G32000300017061,32,3,1706,1586,1088,160,8,210,8,69,43,0.69,0.10,0.01
G32000300017062,32,3,1706,1426,1177,61,6,65,0,68,49,0.83,0.04,0.00
G32000300017071,32,3,1707,1510,1093,133,15,68,19,109,73,0.72,0.09,0.01
G32000300017081,32,3,1708,1854,1341,93,12,103,2,209,94,0.72,0.05,0.01
G32000300017082,32,3,1708,1161,781,61,22,75,14,170,38,0.67,0.05,0.02
G32000300017091,32,3,1709,1547,1056,98,10,66,22,186,109,0.68,0.06,0.01
G32000300017101,32,3,1710,2449,1431,242,35,104,32,450,155,0.58,0.10,0.01
G32000300017102,32,3,1710,1737,914,177,34,67,7,458,80,0.53,0.10,0.02
G32000300017111,32,3,1711,2382,1269,262,47,276,18,375,135,0.53,0.11,0.02
G32000300017112,32,3,1711,1237,797,77,14,61,17,213,58,0.64,0.06,0.01
G32000300017121,32,3,1712,1924,1297,101,7,121,35,278,85,0.67,0.05,0.00
G32000300017122,32,3,1712,1923,1420,145,10,91,19,152,86,0.74,0.08,0.01
G32000300017131,32,3,1713,1466,1077,43,12,80,4,185,65,0.73,0.03,0.01
G32000300017132,32,3,1713,1458,993,41,8,64,9,272,71,0.68,0.03,0.01
G32000300017141,32,3,1714,1630,1082,78,19,62,2,313,74,0.66,0.05,0.01
G32000300017142,32,3,1714,1714,971,92,5,65,21,476,84,0.57,0.05,0.00
G32000300017151,32,3,1715,1012,637,35,13,34,8,247,38,0.63,0.03,0.01
G32000300017152,32,3,1715,1623,812,128,8,92,20,462,101,0.50,0.08,0.00
G32000300017161,32,3,1716,1579,982,89,23,70,5,346,64,0.62,0.06,0.01
G32000300017171,32,3,1717,1331,1090,46,5,47,5,94,44,0.82,0.03,0.00
G32000300017181,32,3,1718,1898,846,97,23,50,7,775,100,0.45,0.05,0.01
G32000300017182,32,3,1718,1293,658,110,9,27,9,393,87,0.51,0.09,0.01
G32000300018011,32,3,1801,1173,772,71,6,84,4,193,43,0.66,0.06,0.01
G32000300018012,32,3,1801,1423,993,37,23,40,1,274,55,0.70,0.03,0.02
G32000300018013,32,3,1801,1062,457,94,14,39,6,415,37,0.43,0.09,0.01
G32000300018014,32,3,1801,1406,873,100,18,44,14,265,92,0.62,0.07,0.01
G32000300018015,32,3,1801,1027,620,90,25,31,11,199,51,0.60,0.09,0.02
G32000300018031,32,3,1803,1140,713,48,2,73,2,242,60,0.63,0.04,0.00
G32000300018032,32,3,1803,1491,873,144,30,98,5,278,63,0.59,0.10,0.02
G32000300018041,32,3,1804,1035,540,27,4,18,1,415,30,0.52,0.03,0.00
G32000300018042,32,3,1804,1273,724,98,8,113,10,263,57,0.57,0.08,0.01
G32000300018043,32,3,1804,1247,505,213,15,52,15,385,62,0.40,0.17,0.01
G32000300019011,32,3,1901,1921,878,172,24,96,13,662,76,0.46,0.09,0.01
G32000300019012,32,3,1901,815,394,70,7,73,1,230,40,0.48,0.09,0.01
G32000300019013,32,3,1901,1979,814,226,21,262,19,519,118,0.41,0.11,0.01
G32000300019014,32,3,1901,1172,555,160,4,84,7,296,66,0.47,0.14,0.00
G32000300019021,32,3,1902,1848,936,222,18,124,5,461,82,0.51,0.12,0.01
G32000300019022,32,3,1902,1023,589,41,18,64,10,230,71,0.58,0.04,0.02
G32000300019023,32,3,1902,1317,715,107,27,93,1,312,62,0.54,0.08,0.02
G32000300020001,32,3,2000,1623,746,189,29,177,15,392,75,0.46,0.12,0.02
G32000300020002,32,3,2000,1132,817,68,4,132,3,65,43,0.72,0.06,0.00
G32000300020003,32,3,2000,1187,875,113,8,59,13,86,33,0.74,0.10,0.01
G32000300022011,32,3,2201,1336,515,131,22,142,13,419,94,0.39,0.10,0.02
G32000300022012,32,3,2201,1142,508,132,5,94,47,306,50,0.44,0.12,0.00
G32000300022013,32,3,2201,1472,964,177,8,168,8,99,48,0.65,0.12,0.01
G32000300022031,32,3,2203,1400,543,65,8,99,6,626,53,0.39,0.05,0.01
G32000300022032,32,3,2203,883,454,35,7,128,0,230,29,0.51,0.04,0.01
G32000300022033,32,3,2203,2480,1062,222,10,123,22,911,130,0.43,0.09,0.00
G32000300022041,32,3,2204,1415,473,49,6,27,0,800,60,0.33,0.03,0.00
G32000300022042,32,3,2204,617,257,55,8,45,0,217,35,0.42,0.09,0.01
G32000300022043,32,3,2204,1257,545,44,7,48,11,557,45,0.43,0.04,0.01
G32000300022044,32,3,2204,1111,360,64,6,19,0,605,57,0.32,0.06,0.01
G32000300022061,32,3,2206,1400,610,163,6,80,4,464,73,0.44,0.12,0.00
G32000300022062,32,3,2206,1995,869,250,22,336,5,436,77,0.44,0.13,0.01
G32000300022071,32,3,2207,2001,688,212,19,75,19,895,93,0.34,0.11,0.01
G32000300022072,32,3,2207,1726,519,108,9,16,11,963,100,0.30,0.06,0.01
G32000300022073,32,3,2207,396,109,20,4,28,4,187,44,0.28,0.05,0.01
G32000300023021,32,3,2302,857,614,97,6,88,5,22,25,0.72,0.11,0.01
G32000300023031,32,3,2303,836,673,25,1,109,3,11,14,0.81,0.03,0.00
G32000300024031,32,3,2403,1556,711,169,26,135,20,445,50,0.46,0.11,0.02
G32000300024032,32,3,2403,1305,717,182,16,97,3,208,82,0.55,0.14,0.01
G32000300024033,32,3,2403,520,303,106,6,45,1,41,18,0.58,0.20,0.01
G32000300024034,32,3,2403,1150,618,179,13,83,9,196,52,0.54,0.16,0.01
G32000300024041,32,3,2404,1435,564,286,13,67,8,416,81,0.39,0.20,0.01
G32000300024042,32,3,2404,238,142,66,0,7,1,12,10,0.60,0.28,0.00
G32000300024043,32,3,2404,740,369,228,6,29,1,77,30,0.50,0.31,0.01
G32000300024044,32,3,2404,1201,403,316,13,30,10,300,129,0.34,0.26,0.01
G32000300024045,32,3,2404,1190,486,177,12,19,2,444,50,0.41,0.15,0.01
G32000300024051,32,3,2405,1839,980,209,13,63,22,439,113,0.53,0.11,0.01
G32000300024052,32,3,2405,1228,644,162,18,118,4,200,82,0.52,0.13,0.01
G32000300024053,32,3,2405,1097,388,104,2,75,3,471,54,0.35,0.09,0.00
G32000300024061,32,3,2406,1017,642,138,4,107,10,36,80,0.63,0.14,0.00
G32000300024062,32,3,2406,2224,1148,480,39,182,24,203,148,0.52,0.22,0.02
G32000300025011,32,3,2501,1278,912,75,8,80,4,133,66,0.71,0.06,0.01
G32000300025012,32,3,2501,3330,1251,456,14,538,17,884,170,0.38,0.14,0.00
G32000300025013,32,3,2501,1790,756,260,3,262,8,425,76,0.42,0.15,0.00
G32000300025041,32,3,2504,1878,1138,205,9,187,11,202,126,0.61,0.11,0.00
G32000300025042,32,3,2504,918,556,134,16,62,5,91,54,0.61,0.15,0.02
G32000300025043,32,3,2504,1052,575,147,9,45,14,226,36,0.55,0.14,0.01
G32000300025051,32,3,2505,764,350,89,14,29,4,249,29,0.46,0.12,0.02
G32000300025052,32,3,2505,1270,574,184,5,231,10,199,67,0.45,0.14,0.00
G32000300025061,32,3,2506,1301,544,225,11,122,12,323,64,0.42,0.17,0.01
G32000300025062,32,3,2506,877,297,76,8,89,7,366,34,0.34,0.09,0.01
G32000300025063,32,3,2506,1171,513,172,11,138,17,249,71,0.44,0.15,0.01
G32000300026031,32,3,2603,332,176,34,0,59,6,7,50,0.53,0.10,0.00
G32000300026032,32,3,2603,1827,1086,264,19,255,18,87,98,0.59,0.14,0.01
G32000300026033,32,3,2603,1928,1046,220,15,206,0,361,80,0.54,0.11,0.01
G32000300026041,32,3,2604,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
G32000300026042,32,3,2604,1589,853,185,16,152,1,287,95,0.54,0.12,0.01
G32000300026043,32,3,2604,696,452,106,6,32,7,59,34,0.65,0.15,0.01
G32000300026051,32,3,2605,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
G32000300026052,32,3,2605,909,494,194,8,42,8,74,89,0.54,0.21,0.01
G32000300027061,32,3,2706,1338,428,175,2,61,15,581,76,0.32,0.13,0.00
G32000300027062,32,3,2706,1892,1044,184,23,66,20,463,92,0.55,0.10,0.01
G32000300027063,32,3,2706,1053,462,113,5,43,4,377,49,0.44,0.11,0.00
G32000300027071,32,3,2707,1096,641,52,11,53,17,252,70,0.58,0.05,0.01
G32000300027072,32,3,2707,1046,607,28,2,45,11,286,67,0.58,0.03,0.00
G32000300027073,32,3,2707,1800,1034,170,9,132,11,297,147,0.57,0.09,0.01
G32000300027081,32,3,2708,1475,572,251,7,52,16,485,92,0.39,0.17,0.00
G32000300027082,32,3,2708,1413,653,262,2,126,12,286,72,0.46,0.19,0.00
G32000300028081,32,3,2808,1177,919,66,4,79,10,34,65,0.78,0.06,0.00
G32000300028082,32,3,2808,650,488,12,2,96,4,32,16,0.75,0.02,0.00
G32000300028101,32,3,2810,1720,809,341,18,142,19,284,107,0.47,0.20,0.01
G32000300028102,32,3,2810,1497,956,188,11,143,10,110,79,0.64,0.13,0.01
G32000300028111,32,3,2811,1237,955,49,4,126,7,60,36,0.77,0.04,0.00
G32000300028112,32,3,2811,2799,1823,207,14,422,17,165,151,0.65,0.07,0.01
G32000300028141,32,3,2814,2307,1713,126,2,245,14,113,94,0.74,0.05,0.00
G32000300028142,32,3,2814,1490,973,89,12,211,17,104,84,0.65,0.06,0.01
G32000300028143,32,3,2814,1283,773,90,9,237,4,108,62,0.60,0.07,0.01
G32000300028211,32,3,2821,1794,1237,130,4,187,12,133,91,0.69,0.07,0.00
G32000300028212,32,3,2821,1944,1167,198,23,169,8,281,98,0.60,0.10,0.01
G32000300028213,32,3,2821,851,481,118,11,63,5,114,59,0.57,0.14,0.01
G32000300028221,32,3,2822,1865,1135,131,16,56,5,414,108,0.61,0.07,0.01
G32000300028222,32,3,2822,1843,1114,66,12,48,8,466,129,0.60,0.04,0.01
G32000300028231,32,3,2823,1679,1035,195,10,104,21,220,94,0.62,0.12,0.01
G32000300028232,32,3,2823,982,667,97,18,64,15,74,47,0.68,0.10,0.02
G32000300028233,32,3,2823,925,532,89,10,62,32,132,68,0.58,0.10,0.01
G32000300028241,32,3,2824,769,617,24,7,55,4,35,27,0.80,0.03,0.01
G32000300028242,32,3,2824,846,638,24,3,31,2,108,40,0.75,0.03,0.00
G32000300028251,32,3,2825,1644,1090,92,2,61,20,254,125,0.66,0.06,0.00
G32000300028252,32,3,2825,1409,1098,59,7,56,11,101,77,0.78,0.04,0.00
G32000300028261,32,3,2826,1282,883,85,7,76,4,162,65,0.69,0.07,0.01
G32000300028262,32,3,2826,1618,1179,58,13,98,31,174,65,0.73,0.04,0.01
G32000300028271,32,3,2827,1185,876,72,13,37,15,120,52,0.74,0.06,0.01
G32000300028272,32,3,2827,1662,1017,205,17,85,15,209,114,0.61,0.12,0.01
G32000300028281,32,3,2828,3329,2304,249,24,408,33,178,133,0.69,0.07,0.01
G32000300028291,32,3,2829,1224,949,37,6,108,4,71,49,0.78,0.03,0.00
G32000300028292,32,3,2829,851,600,47,1,68,0,67,68,0.71,0.06,0.00
G32000300028293,32,3,2829,884,554,44,9,80,36,115,46,0.63,0.05,0.01
G32000300028294,32,3,2829,955,681,37,13,46,8,116,54,0.71,0.04,0.01
G32000300028301,32,3,2830,1261,955,52,6,118,6,62,62,0.76,0.04,0.00
